"koala:SmallKoala rdf:type koala:Koala";"Small Koala's type is Koala."
"koala:BigKoala rdf:type koala:Animal";"Big Koala's type is Animal."
"koala:HugeKoala rdf:type koala:Animal";"Huge Koala's type is Animal."
"koala:NiceKoala rdf:type koala:Koala";"Nice Koala's type is Koala."
"koala:Freddie rdf:type koala:Koala";"Freddie's type is Koala."
"koala:Anna rdf:type koala:Person";"Anna's type is Person."
"koala:Marvin rdf:type koala:Animal";"Marvin's type is Animal."
"koala:Jenna rdf:type koala:Person";"Jenna's type is Person."
"koala:Felix rdf:type koala:Person";"Felix's type is Person."
"koala:Kim rdf:type koala:Person";"Kim's type is Person."
"koala:James rdf:type koala:Person";"James' type is Person."
"koala:Philipp rdf:type koala:Animal";"Philipp's type is Animal."
"koala:Anna rdf:type koala:Person";"Anna's type is Person."
"koala:Otto rdf:type koala:Animal";"Otto's type is Animal."
"koala:Kendrick rdf:type koala:Animal";"Kendrick's type is Animal."
"koala:Nicole rdf:type koala:Student";"Nicole's type is Student."
"koala:Harold rdf:type koala:Student";"Harold's type is Student."
"koala:Lena rdf:type koala:Person";"Lena's type is Person."
"koala:Jack rdf:type koala:Person";"Jack's type is Person."
"koala:John rdf:type koala:Student";"John's type is Student."
"koala:SmallKoala koala:hasDegree koala:BA";"Small Koala has degree BA."
"koala:BigKoala koala:hasDegree koala:PhD";"Big Koala has degree PhD."
"koala:HugeKoala koala:hasDegree koala:PhD";"Huge Koala has degree PhD."
"koala:NiceKoala koala:hasDegree koala:MA";"Nice Koala has degree MA."
"koala:Freddie koala:hasDegree koala:BA";"Freddie has degree BA."
"koala:Anna koala:hasHabitat koala:Leipzig";"Anna has habitat Leipzig."
"koala:Marvin koala:hasHabitat koala:UniTuebingen";"Marvin has habitat Uni Tuebingen."
"koala:Jenna koala:hasHabitat koala:UniLeipzig";"Jenna has habitat Uni Leipzig."
"koala:Felix koala:hasHabitat koala:UniLeipzig";"Felix has habitat Uni Leipzig."
"koala:Kim koala:hasHabitat koala:UniLeipzig";"Kim has habitat Uni Leipzig."
"koala:Anna koala:hasHabitat koala:Leipzig";"Anna has habitat Leipzig."
"koala:Otto koala:hasHabitat koala:ThatOneVeryDryEucalyptForest";"Otto has habitat That One Very Dry Eucalypt Forest."
"koala:Kendrick koala:hasChildren koala:Felix";"Kendrick has children Felix."
"koala:Nicole koala:hasChildren koala:Carla";"Nicole has children Carla."
"koala:Harold koala:hasChildren koala:Carla";"Harold has children Carla."
"koala:Lena koala:hasChildren koala:Carla";"Lena has children Carla."
"koala:Jack koala:hasChildren koala:Carla";"Jack has children Carla."
"koala:John koala:hasChildren koala:Carla";"John has children Carla."
"koala:SmallKoala koala:hasDegree koala:MA";"Small Koala has degree MA."
"koala:HugeKoala koala:hasHabitat koala:ThatOneVeryDryEucalyptForest";"Huge Koala has habitat That One Very Dry Eucalypt Forest."
"koala:NiceKoala koala:hasHabitat koala:ThatOneVeryDryEucalyptForest";"Nice Koala has habitat That One Very Dry Eucalypt Forest."
"koala:Freddie koala:hasDegree koala:PhD";"Freddie has degree PhD."
"koala:Anna koala:isHardWorking "true"^^http://www.w3.org/2001/XMLSchema#boolean";"Anna is hard working."
"koala:Marvin koala:isHardWorking "true"^^http://www.w3.org/2001/XMLSchema#boolean";"Marvin is hard working."
"koala:Felix koala:isHardWorking "false"^^http://www.w3.org/2001/XMLSchema#boolean";"Felix is not hard working."
"koala:Kim koala:isHardWorking "true"^^http://www.w3.org/2001/XMLSchema#boolean";"Kim is hard working."
