"koala:SmallKoala rdf:type koala:Koala";"Small Koala is a koala"
"koala:BigKoala rdf:type koala:Animal";"Big Koala is an animal"
"koala:HugeKoala rdf:type koala:Animal";"Huge Koala is an animal"
"koala:NiceKoala rdf:type koala:Koala";"Nice Koala is a koala"
"koala:Freddie rdf:type koala:Koala";"Freddie is a koala"
"koala:Anna rdf:type koala:Person";"Anna is a person"
"koala:Marvin rdf:type koala:Animal";"Marvin is an animal"
"koala:Jenna rdf:type koala:Person";"Jenna is a person"
"koala:Felix rdf:type koala:Person";"Felix is a person"
"koala:Kim rdf:type koala:Person";"Kim is a person"
"koala:James rdf:type koala:Person";"James is a person"
"koala:Philipp rdf:type koala:Animal";"Philipp is an animal"
"koala:Anna rdf:type koala:Person";"Anna is a person"
"koala:Otto rdf:type koala:Animal";"Otto is an animal"
"koala:Kendrick rdf:type koala:Animal";"Kendrick is an animal"
"koala:Nicole rdf:type koala:Student";"Nicole is a student"
"koala:Harold rdf:type koala:Student";"Harold is a student"
"koala:Lena rdf:type koala:Person";"Lena is a person"
"koala:Jack rdf:type koala:Person";"Jack is a person"
"koala:John rdf:type koala:Student";"John is a student"
"koala:SmallKoala koala:hasDegree koala:BA";"Small Koala has degree BA"
"koala:BigKoala koala:hasDegree koala:PhD";"Big Koala has degree PhD"
"koala:HugeKoala koala:hasDegree koala:PhD";"Huge Koala has degree PhD"
"koala:NiceKoala koala:hasDegree koala:MA";"Nice Koala has degree MA"
"koala:Freddie koala:hasDegree koala:BA";"Freddie has degree BA"
"koala:Anna koala:hasHabitat koala:Leipzig";"Anna has habitat Leipzig"
"koala:Marvin koala:hasHabitat koala:UniTuebingen";"Marvin has habitat Uni Tuebingen"
"koala:Jenna koala:hasHabitat koala:UniLeipzig";"Jenna has habitat Uni Leipzig"
"koala:Felix koala:hasHabitat koala:UniLeipzig";"Felix has habitat Uni Leipzig"
"koala:Kim koala:hasHabitat koala:UniLeipzig";"Kim has habitat Uni Leipzig"
"koala:Anna koala:hasHabitat koala:Leipzig";"Anna has habitat Leipzig"
"koala:Otto koala:hasHabitat koala:ThatOneVeryDryEucalyptForest";"Otto has habitat That One Very Dry Eucalypt Forest"
"koala:Kendrick koala:hasChildren koala:Felix";"Kendrick has children Felix"
"koala:Nicole koala:hasChildren koala:Carla";"Nicole has children Carla"
"koala:Harold koala:hasChildren koala:Carla";"Harold has children Carla"
"koala:Lena koala:hasChildren koala:Carla";"Lena has children Carla"
"koala:Jack koala:hasChildren koala:Carla";"Jack has children Carla"
"koala:John koala:hasChildren koala:Carla";"John has children Carla"
"koala:SmallKoala koala:hasDegree koala:MA";"Small Koala has degree MA"
"koala:HugeKoala koala:hasHabitat koala:ThatOneVeryDryEucalyptForest";"Huge Koala has habitat That One Very Dry Eucalypt Forest"
"koala:NiceKoala koala:hasHabitat koala:ThatOneVeryDryEucalyptForest";"Nice Koala has habitat That One Very Dry Eucalypt Forest"
"koala:Freddie koala:hasDegree koala:PhD";"Freddie has degree PhD"
"koala:Anna koala:isHardWorking "true"^^http://www.w3.org/2001/XMLSchema#boolean";"Anna is hard working"
"koala:Marvin koala:isHardWorking "true"^^http://www.w3.org/2001/XMLSchema#boolean";"Marvin is hard working"
"koala:Felix koala:isHardWorking "false"^^http://www.w3.org/2001/XMLSchema#boolean";"Felix is not hard working"
"koala:Kim koala:isHardWorking "true"^^http://www.w3.org/2001/XMLSchema#boolean";"Kim is hard working"
"koala:Anna koala:isHardWorking "true"^^http://www.w3.org/2001/XMLSchema#boolean";"Anna is hard working"
"koala:Kendrick koala:hasChildren koala:Freddie";"Kendrick has children Freddie"
"koala:Nicole koala:hasChildren koala:Caroline";"Nicole has children Caroline"
"koala:Harold koala:hasChildren koala:Caroline";"Harold has children Caroline"
"koala:Lena koala:hasChildren koala:Caroline";"Lena has children Caroline"
"koala:Jack koala:hasChildren koala:Caroline";"Jack has children Caroline"
"koala:John koala:hasChildren koala:Caroline";"John has children Caroline"
"koala:Freddie koala:hasGender koala:male";"Freddie has gender male"
"koala:Kendrick koala:hasChildren koala:NiceKoala";"Kendrick has children Nice Koala"
"koala:Nicole koala:hasChildren koala:Marie";"Nicole has children Marie"
"koala:Harold koala:hasChildren koala:Marie";"Harold has children Marie"
"koala:Lena koala:hasChildren koala:Marie";"Lena has children Marie"
"koala:Jack koala:hasChildren koala:Marie";"Jack has children Marie"
"koala:John koala:hasChildren koala:Marie";"John has children Marie"
"koala:Nicole koala:hasGender koala:female";"Nicole has gender female"
"koala:Lena koala:isHardWorking "true"^^http://www.w3.org/2001/XMLSchema#boolean";"Lena is hard working"
"koala:Jack koala:hasHabitat koala:UniLeipzig";"Jack has habitat Uni Leipzig"
"koala:John koala:hasGender koala:male";"John has gender male"
"koala:BA rdf:type http://www.w3.org/2002/07/owl#NamedIndividual";"BA is a named individual"
"koala:BA rdf:type koala:Degree";"BA is a degree"
"koala:MA rdf:type http://www.w3.org/2002/07/owl#NamedIndividual";"MA is a named individual"
"koala:MA rdf:type koala:Degree";"MA is a degree"
"koala:Carla rdf:type koala:Person";"Carla is a person"
"koala:Carla koala:hasGender koala:female";"Carla has gender female"
"koala:Caroline rdf:type koala:Person";"Caroline is a person"
